schema,col_idx,instance_bm25,instance_tapas,instance_contriever
"Addresses,address_id,line_1,line_2,line_3,city,zip_postcode,state_province_county,country,other_address_details","1,2,3,4,5,6,7,8,9",address_id line_1 line_2 line_3 city zip_postcode state_province_county country other_address_details 1 2294 Grant Square Apt. 235 Apt. 370 None Port Chelsea 148 Virginia Iceland None 2 3999 Aufderhar Ways Suite 593 Apt. 388 None Lake Laishafurt 943 Kentucky Burundi None 3 67942 Carlotta Ferry Apt. 686 Apt. 583 None Goodwinhaven 541 Kansas Saudi Arabia None 4 0144 Lamar Plaza Apt. 346 Suite 703 None Port Evanston 847 Washington Angola None 5 858 Peggie Bypass Suite 212 Apt. 335 None Michelleburgh 446 Hawaii Haiti None 6 16998 Mraz Lodge Apt. 689 None North Omer 902 Kentucky Gibraltar None 7 193 Marlin Brook Apt. 406 None Herzoghaven 068 Arkansas Cook Islands None 8 202 Hessel Views Apt. 468 Apt. 305 None Mariliehaven 638 Idaho Croatia None 9 0643 Muller Vista Suite 383 None Port Elvisfurt 777 NorthCarolina Gabon None 10 7081 Eda Center Suite 830 None Rutherfordtown 839 Delaware Kyrgyz Republic None,"{""address_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""line_1"": [""2294 Grant Square Apt. 235"", ""3999 Aufderhar Ways Suite 593"", ""67942 Carlotta Ferry Apt. 686"", ""0144 Lamar Plaza Apt. 346"", ""858 Peggie Bypass Suite 212"", ""16998 Mraz Lodge"", ""193 Marlin Brook"", ""202 Hessel Views Apt. 468"", ""0643 Muller Vista"", ""7081 Eda Center""], ""line_2"": [""Apt. 370"", ""Apt. 388"", ""Apt. 583"", ""Suite 703"", ""Apt. 335"", ""Apt. 689"", ""Apt. 406"", ""Apt. 305"", ""Suite 383"", ""Suite 830""], ""line_3"": [null, null, null, null, null, null, null, null, null, null], ""city"": [""Port Chelsea"", ""Lake Laishafurt"", ""Goodwinhaven"", ""Port Evanston"", ""Michelleburgh"", ""North Omer"", ""Herzoghaven"", ""Mariliehaven"", ""Port Elvisfurt"", ""Rutherfordtown""], ""zip_postcode"": [""148"", ""943"", ""541"", ""847"", ""446"", ""902"", ""068"", ""638"", ""777"", ""839""], ""state_province_county"": [""Virginia"", ""Kentucky"", ""Kansas"", ""Washington"", ""Hawaii"", ""Kentucky"", ""Arkansas"", ""Idaho"", ""NorthCarolina"", ""Delaware""], ""country"": [""Iceland"", ""Burundi"", ""Saudi Arabia"", ""Angola"", ""Haiti"", ""Gibraltar"", ""Cook Islands"", ""Croatia"", ""Gabon"", ""Kyrgyz Republic""], ""other_address_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: address_id,line_1,line_2,line_3,city,zip_postcode,state_province_county,country,other_address_details row: 1,2294 Grant Square Apt. 235,Apt. 370,None,Port Chelsea,148,Virginia,Iceland,None row: 2,3999 Aufderhar Ways Suite 593,Apt. 388,None,Lake Laishafurt,943,Kentucky,Burundi,None row: 3,67942 Carlotta Ferry Apt. 686,Apt. 583,None,Goodwinhaven,541,Kansas,Saudi Arabia,None row: 4,0144 Lamar Plaza Apt. 346,Suite 703,None,Port Evanston,847,Washington,Angola,None row: 5,858 Peggie Bypass Suite 212,Apt. 335,None,Michelleburgh,446,Hawaii,Haiti,None row: 6,16998 Mraz Lodge,Apt. 689,None,North Omer,902,Kentucky,Gibraltar,None row: 7,193 Marlin Brook,Apt. 406,None,Herzoghaven,068,Arkansas,Cook Islands,None row: 8,202 Hessel Views Apt. 468,Apt. 305,None,Mariliehaven,638,Idaho,Croatia,None row: 9,0643 Muller Vista,Suite 383,None,Port Elvisfurt,777,NorthCarolina,Gabon,None row: 10,7081 Eda Center,Suite 830,None,Rutherfordtown,839,Delaware,Kyrgyz Republic,None "
"Courses,course_id,course_name,course_description,other_details","10,11,12,13",course_id course_name course_description other_details 1 ds p None 2 math q None 3 os v None 4 en k None 5 fr c None 6 la n None 7 cal l None 8 nlp q None 9 dl l None 10 ml b None,"{""course_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""course_name"": [""ds"", ""math"", ""os"", ""en"", ""fr"", ""la"", ""cal"", ""nlp"", ""dl"", ""ml""], ""course_description"": [""p"", ""q"", ""v"", ""k"", ""c"", ""n"", ""l"", ""q"", ""l"", ""b""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: course_id,course_name,course_description,other_details row: 1,ds,p,None row: 2,math,q,None row: 3,os,v,None row: 4,en,k,None row: 5,fr,c,None row: 6,la,n,None row: 7,cal,l,None row: 8,nlp,q,None row: 9,dl,l,None row: 10,ml,b,None "
"Departments,department_id,department_name,department_description,other_details","14,15,16,17",department_id department_name department_description other_details 1 computer science error None 2 history nostrum None 3 art aliquam None 4 linguistic natus None 5 management nihil None 6 engineer autem None 7 math doloribus None 8 statistics nihil None 9 law dolorem None 10 economics non None,"{""department_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""department_name"": [""computer science"", ""history"", ""art"", ""linguistic"", ""management"", ""engineer"", ""math"", ""statistics"", ""law"", ""economics""], ""department_description"": [""error"", ""nostrum"", ""aliquam"", ""natus"", ""nihil"", ""autem"", ""doloribus"", ""nihil"", ""dolorem"", ""non""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: department_id,department_name,department_description,other_details row: 1,computer science,error,None row: 2,history,nostrum,None row: 3,art,aliquam,None row: 4,linguistic,natus,None row: 5,management,nihil,None row: 6,engineer,autem,None row: 7,math,doloribus,None row: 8,statistics,nihil,None row: 9,law,dolorem,None row: 10,economics,non,None "
"Degree_Programs,degree_program_id,department_id,degree_summary_name,degree_summary_description,other_details","18,19,20,21,22",degree_program_id department_id degree_summary_name degree_summary_description other_details 1 13 Master architecto None 2 2 Master cumque None 3 13 Master placeat None 4 8 Bachelor unde None 5 11 Master officiis None 6 8 Bachelor aperiam None 7 14 Bachelor assumenda None 8 15 Master earum None 9 3 Bachelor voluptas None 10 8 Bachelor aut None,"{""degree_program_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""department_id"": [13, 2, 13, 8, 11, 8, 14, 15, 3, 8], ""degree_summary_name"": [""Master"", ""Master"", ""Master"", ""Bachelor"", ""Master"", ""Bachelor"", ""Bachelor"", ""Master"", ""Bachelor"", ""Bachelor""], ""degree_summary_description"": [""architecto"", ""cumque"", ""placeat"", ""unde"", ""officiis"", ""aperiam"", ""assumenda"", ""earum"", ""voluptas"", ""aut""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: degree_program_id,department_id,degree_summary_name,degree_summary_description,other_details row: 1,13,Master,architecto,None row: 2,2,Master,cumque,None row: 3,13,Master,placeat,None row: 4,8,Bachelor,unde,None row: 5,11,Master,officiis,None row: 6,8,Bachelor,aperiam,None row: 7,14,Bachelor,assumenda,None row: 8,15,Master,earum,None row: 9,3,Bachelor,voluptas,None row: 10,8,Bachelor,aut,None "
"Sections,section_id,course_id,section_name,section_description,other_details","23,24,25,26,27",section_id course_id section_name section_description other_details 1 9 a non None 2 2 b voluptatem None 3 8 c qui None 4 1 d voluptas None 5 5 e ex None 6 7 f doloremque None 7 12 g provident None 8 14 h et None 9 8 j quis None 10 14 k nesciunt None,"{""section_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""course_id"": [9, 2, 8, 1, 5, 7, 12, 14, 8, 14], ""section_name"": [""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"", ""j"", ""k""], ""section_description"": [""non"", ""voluptatem"", ""qui"", ""voluptas"", ""ex"", ""doloremque"", ""provident"", ""et"", ""quis"", ""nesciunt""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: section_id,course_id,section_name,section_description,other_details row: 1,9,a,non,None row: 2,2,b,voluptatem,None row: 3,8,c,qui,None row: 4,1,d,voluptas,None row: 5,5,e,ex,None row: 6,7,f,doloremque,None row: 7,12,g,provident,None row: 8,14,h,et,None row: 9,8,j,quis,None row: 10,14,k,nesciunt,None "
"Semesters,semester_id,semester_name,semester_description,other_details","28,29,30,31",semester_id semester_name semester_description other_details 1 spring 2010 x None 2 summer 2010 g None 3 fall 2010 w None 4 winter 2010 c None 5 spring 2018 c None 6 spring 2012 l None 7 spring 2013 y None 8 spring 2014 x None 9 spring 2015 x None 10 spring 2016 f None,"{""semester_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""semester_name"": [""spring 2010"", ""summer 2010"", ""fall 2010"", ""winter 2010"", ""spring 2018"", ""spring 2012"", ""spring 2013"", ""spring 2014"", ""spring 2015"", ""spring 2016""], ""semester_description"": [""x"", ""g"", ""w"", ""c"", ""c"", ""l"", ""y"", ""x"", ""x"", ""f""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: semester_id,semester_name,semester_description,other_details row: 1,spring 2010,x,None row: 2,summer 2010,g,None row: 3,fall 2010,w,None row: 4,winter 2010,c,None row: 5,spring 2018,c,None row: 6,spring 2012,l,None row: 7,spring 2013,y,None row: 8,spring 2014,x,None row: 9,spring 2015,x,None row: 10,spring 2016,f,None "
"Students,student_id,current_address_id,permanent_address_id,first_name,middle_name,last_name,cell_mobile_number,email_address,ssn,date_first_registered,date_left,other_student_details","32,33,34,35,36,37,38,39,40,41,42,43",student_id current_address_id permanent_address_id first_name middle_name last_name cell_mobile_number email_address ssn date_first_registered date_left other_student_details 1 10 15 Timmothy Anna Ward (096)889-8954x524 erwin.zboncak@example.com 965 1971-02-05 07:28:23 1971-05-17 19:28:49 quia 2 12 5 Hobart Lorenz Balistreri 1-009-710-5151 swift.kolby@example.com 304246 1976-10-26 02:33:06 2013-10-05 17:41:28 autem 3 9 5 Warren Violet Gleichner 07661787471 johns.unique@example.net 3 2007-08-29 23:25:41 2007-03-31 09:53:19 facilis 4 7 11 Jarvis Aaliyah Carroll 09700166582 jillian26@example.net 141072406 2014-03-28 05:48:23 2007-08-02 04:12:58 atque 5 9 9 Milton Vaughn Christiansen 171-642-5684 lhartmann@example.org  1973-05-19 19:12:46 2007-11-28 12:50:21 laborum 6 6 3 Stanford Mona Rogahn 436.613.7683 skassulke@example.net 248 1997-03-20 16:47:25 2016-04-09 12:27:04 qui 7 15 3 Frida Aisha Huel 1-879-796-8987x164 baumbach.lucious@example.org 668 2018-03-13 09:56:22 1997-11-16 08:54:33 dolorum 8 1 5 Delaney Judd Ankunding 03174364122 dell43@example.net 402 1982-02-14 08:46:35 2004-12-08 05:29:11 voluptatem 9 2 15 Reva Golda Osinski (507)365-8405 qo'kon@example.com 39 2017-01-04 08:10:25 1990-09-01 05:03:27 nesciunt 10 15 14 Helga Cleve Mohr 677.401.9382 nya.lesch@example.net 43 2009-09-25 00:14:25 2017-07-09 21:38:43 rerum,"{""student_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""current_address_id"": [10, 12, 9, 7, 9, 6, 15, 1, 2, 15], ""permanent_address_id"": [15, 5, 5, 11, 9, 3, 3, 5, 15, 14], ""first_name"": [""Timmothy"", ""Hobart"", ""Warren"", ""Jarvis"", ""Milton"", ""Stanford"", ""Frida"", ""Delaney"", ""Reva"", ""Helga""], ""middle_name"": [""Anna"", ""Lorenz"", ""Violet"", ""Aaliyah"", ""Vaughn"", ""Mona"", ""Aisha"", ""Judd"", ""Golda"", ""Cleve""], ""last_name"": [""Ward"", ""Balistreri"", ""Gleichner"", ""Carroll"", ""Christiansen"", ""Rogahn"", ""Huel"", ""Ankunding"", ""Osinski"", ""Mohr""], ""cell_mobile_number"": [""(096)889-8954x524"", ""1-009-710-5151"", ""07661787471"", ""09700166582"", ""171-642-5684"", ""436.613.7683"", ""1-879-796-8987x164"", ""03174364122"", ""(507)365-8405"", ""677.401.9382""], ""email_address"": [""erwin.zboncak@example.com"", ""swift.kolby@example.com"", ""johns.unique@example.net"", ""jillian26@example.net"", ""lhartmann@example.org"", ""skassulke@example.net"", ""baumbach.lucious@example.org"", ""dell43@example.net"", ""qo'kon@example.com"", ""nya.lesch@example.net""], ""ssn"": [""965"", ""304246"", ""3"", ""141072406"", """", ""248"", ""668"", ""402"", ""39"", ""43""], ""date_first_registered"": [""1971-02-05 07:28:23"", ""1976-10-26 02:33:06"", ""2007-08-29 23:25:41"", ""2014-03-28 05:48:23"", ""1973-05-19 19:12:46"", ""1997-03-20 16:47:25"", ""2018-03-13 09:56:22"", ""1982-02-14 08:46:35"", ""2017-01-04 08:10:25"", ""2009-09-25 00:14:25""], ""date_left"": [""1971-05-17 19:28:49"", ""2013-10-05 17:41:28"", ""2007-03-31 09:53:19"", ""2007-08-02 04:12:58"", ""2007-11-28 12:50:21"", ""2016-04-09 12:27:04"", ""1997-11-16 08:54:33"", ""2004-12-08 05:29:11"", ""1990-09-01 05:03:27"", ""2017-07-09 21:38:43""], ""other_student_details"": [""quia"", ""autem"", ""facilis"", ""atque"", ""laborum"", ""qui"", ""dolorum"", ""voluptatem"", ""nesciunt"", ""rerum""]}","columns: student_id,current_address_id,permanent_address_id,first_name,middle_name,last_name,cell_mobile_number,email_address,ssn,date_first_registered,date_left,other_student_details row: 1,10,15,Timmothy,Anna,Ward,(096)889-8954x524,erwin.zboncak@example.com,965,1971-02-05 07:28:23,1971-05-17 19:28:49,quia row: 2,12,5,Hobart,Lorenz,Balistreri,1-009-710-5151,swift.kolby@example.com,304246,1976-10-26 02:33:06,2013-10-05 17:41:28,autem row: 3,9,5,Warren,Violet,Gleichner,07661787471,johns.unique@example.net,3,2007-08-29 23:25:41,2007-03-31 09:53:19,facilis row: 4,7,11,Jarvis,Aaliyah,Carroll,09700166582,jillian26@example.net,141072406,2014-03-28 05:48:23,2007-08-02 04:12:58,atque row: 5,9,9,Milton,Vaughn,Christiansen,171-642-5684,lhartmann@example.org,,1973-05-19 19:12:46,2007-11-28 12:50:21,laborum row: 6,6,3,Stanford,Mona,Rogahn,436.613.7683,skassulke@example.net,248,1997-03-20 16:47:25,2016-04-09 12:27:04,qui row: 7,15,3,Frida,Aisha,Huel,1-879-796-8987x164,baumbach.lucious@example.org,668,2018-03-13 09:56:22,1997-11-16 08:54:33,dolorum row: 8,1,5,Delaney,Judd,Ankunding,03174364122,dell43@example.net,402,1982-02-14 08:46:35,2004-12-08 05:29:11,voluptatem row: 9,2,15,Reva,Golda,Osinski,(507)365-8405,qo'kon@example.com,39,2017-01-04 08:10:25,1990-09-01 05:03:27,nesciunt row: 10,15,14,Helga,Cleve,Mohr,677.401.9382,nya.lesch@example.net,43,2009-09-25 00:14:25,2017-07-09 21:38:43,rerum "
"Student_Enrolment,student_enrolment_id,degree_program_id,semester_id,student_id,other_details","44,45,46,47,48",student_enrolment_id degree_program_id semester_id student_id other_details 1 12 13 14 None 2 4 2 9 None 3 10 2 7 None 4 4 15 9 None 5 5 1 14 None 6 3 13 1 None 7 9 9 4 None 8 8 5 12 None 9 12 6 7 None 10 11 2 7 None,"{""student_enrolment_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""degree_program_id"": [12, 4, 10, 4, 5, 3, 9, 8, 12, 11], ""semester_id"": [13, 2, 2, 15, 1, 13, 9, 5, 6, 2], ""student_id"": [14, 9, 7, 9, 14, 1, 4, 12, 7, 7], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: student_enrolment_id,degree_program_id,semester_id,student_id,other_details row: 1,12,13,14,None row: 2,4,2,9,None row: 3,10,2,7,None row: 4,4,15,9,None row: 5,5,1,14,None row: 6,3,13,1,None row: 7,9,9,4,None row: 8,8,5,12,None row: 9,12,6,7,None row: 10,11,2,7,None "
"Student_Enrolment_Courses,student_course_id,course_id,student_enrolment_id","49,50,51",student_course_id course_id student_enrolment_id 0 6 2 1 6 8 2 14 5 7 11 5 8 2 5 76 10 13 96 2 4 9860 14 10 438800 3 4 604750 4 6,"{""student_course_id"": [0, 1, 2, 7, 8, 76, 96, 9860, 438800, 604750], ""course_id"": [6, 6, 14, 11, 2, 10, 2, 14, 3, 4], ""student_enrolment_id"": [2, 8, 5, 5, 5, 13, 4, 10, 4, 6]}","columns: student_course_id,course_id,student_enrolment_id row: 0,6,2 row: 1,6,8 row: 2,14,5 row: 7,11,5 row: 8,2,5 row: 76,10,13 row: 96,2,4 row: 9860,14,10 row: 438800,3,4 row: 604750,4,6 "
"Transcripts,transcript_id,transcript_date,other_details","52,53,54",transcript_id transcript_date other_details 1 1988-04-30 01:19:47 None 2 1975-10-28 15:16:51 None 3 1984-12-19 00:37:21 None 4 1999-01-06 20:06:46 None 5 2013-06-30 13:01:40 None 6 2010-12-13 10:55:15 None 7 1990-03-05 11:59:41 None 8 1975-05-06 12:04:47 None 9 1984-01-18 23:07:07 None 10 1975-05-20 18:31:21 None,"{""transcript_id"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], ""transcript_date"": [""1988-04-30 01:19:47"", ""1975-10-28 15:16:51"", ""1984-12-19 00:37:21"", ""1999-01-06 20:06:46"", ""2013-06-30 13:01:40"", ""2010-12-13 10:55:15"", ""1990-03-05 11:59:41"", ""1975-05-06 12:04:47"", ""1984-01-18 23:07:07"", ""1975-05-20 18:31:21""], ""other_details"": [null, null, null, null, null, null, null, null, null, null]}","columns: transcript_id,transcript_date,other_details row: 1,1988-04-30 01:19:47,None row: 2,1975-10-28 15:16:51,None row: 3,1984-12-19 00:37:21,None row: 4,1999-01-06 20:06:46,None row: 5,2013-06-30 13:01:40,None row: 6,2010-12-13 10:55:15,None row: 7,1990-03-05 11:59:41,None row: 8,1975-05-06 12:04:47,None row: 9,1984-01-18 23:07:07,None row: 10,1975-05-20 18:31:21,None "
